state,name,handle
Alabama,Kay Ivey,GovernorKayIvey
Alaska,Mike Dunleavy,GovDunleavy
Arizona,Doug Ducey,dougducey
Arkansas,Asa Hutchinson,AsaHutchinson
California,Gavin Newsom,GavinNewsom
Colorado,Jared Polis,GovofCO
Connecticut,Ned Lamont,GovNedLamont
Delaware,John Carney,carney
Florida,Ron DeSantis,GovRonDeSantis
Georgia,Brian Kemp,GovKemp
Hawaii,David Ige,GovHawaii
Idaho,Brad Little,GovernorLittle
Illinois,J. B. Pritzker,GovPritzker
Indiana,Eric Holcomb,GovHolcomb
Iowa,Kim Reynolds,IAGovernor
Kansas,Laura Kelly,GovLauraKelly
Kentucky,Andy Beshear,GovAndyBeshear
Louisiana,John Bel Edwards,LouisianaGov
Maine,Janet Mills,GovJanetMills
Maryland,Larry Hogan,GovLarryHogan
Massachusetts,Charlie Baker,MassGovernor
Michigan,Gretchen Whitmer,GovWhitmer
Minnesota,Tim Walz,GovTimWalz
Mississippi,Tate Reeves,tatereeves
Missouri,Mike Parson,GovParsonMO
Montana,Steve Bullock,GovernorBullock
Nebraska,Pete Ricketts,GovRicketts
Nevada,Steve Sisolak,GovSisolak
New Hampshire,Chris Sununu,GovChrisSununu
New Jersey,Phil Murphy,GovMurphy
New Mexico,Michelle Lujan Grisham,GovMLG
New York,Andrew Cuomo,NYGovCuomo
North Carolina,Roy Cooper,NC_Governor
North Dakota,Doug Burgum,DougBurgum
Ohio,Mike DeWine,GovMikeDeWine
Oklahoma,Kevin Stitt,GovStitt
Oregon,Kate Brown,OregonGovBrown
Pennsylvania,Tom Wolf,GovernorTomWolf
Rhode Island,Gina Raimondo,GovRaimondo
South Carolina,Henry McMaster,henrymcmaster
South Dakota,Kristi Noem,govkristinoem
Tennessee,Bill Lee,GovBillLee
Texas,Greg Abbott,GovAbbott
Utah,Gary Herbert,GovHerbert
Vermont,Phil Scott,GovPhilScott
Virginia,Ralph Northam,GovernorVA
Washington,Jay Inslee,GovInslee
West Virginia,Jim Justice,WVGovernor
Wisconsin,Tony Evers,GovEvers
Wyoming,Mark Gordon,GovernorGordon
